ID,X9,X8,X3,X4,X5,X6,X7,X22,X1,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X2,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,Class
1000025,10,3,10,5,9,5,9,4,10,5,9,4,8,3,8,3,9,3,8,3,8,5,7,3,8,2,7,3,6,3,7,2,6,3,1
1002945,10,0,10,4,10,3,4,3,10,5,8,2,7,2,2,0,5,2,7,0,4,5,4,3,4,4,4,4,4,4,4,5,4,5,2
1015425,9,4,10,5,10,5,10,4,10,5,9,5,9,5,8,5,9,4,9,5,9,5,7,4,8,3,8,4,7,4,8,4,8,3,1
1016277,5,0,10,3,10,10,9,10,10,5,5,5,5,5,0,6,8,3,0,2,2,5,5,5,10,10,8,10,10,4,6,10,3,10,2
1017023,9,4,10,5,10,5,10,3,10,4,8,4,8,5,7,4,8,4,7,4,5,5,5,2,5,2,6,2,5,2,5,2,5,2,1
1017122,6,4,5,5,5,4,5,5,10,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2
1018099,9,4,10,4,10,4,10,1,10,4,9,3,9,2,9,2,8,2,7,1,7,5,7,1,6,1,6,1,5,1,5,1,4,1,1
1018561,5,0,5,5,5,5,10,5,5,5,0,0,5,5,5,5,10,10,0,0,5,5,5,5,10,10,10,10,5,5,10,10,5,5,2
1033078,10,4,10,5,10,4,10,2,10,3,10,3,10,3,10,3,10,3,9,2,9,5,8,2,9,2,8,2,6,2,7,1,7,1,1
1033078,6,5,5,5,5,5,5,5,10,4,3,3,5,5,3,7,3,6,8,6,5,5,5,5,4,5,6,5,5,5,6,6,5,7,2
1035283,10,4,10,5,10,4,10,1,10,3,10,3,10,2,10,2,9,2,8,1,9,5,8,1,8,1,7,1,7,1,7,1,6,1,1
1036172,10,0,10,2,10,0,10,10,10,7,10,3,10,10,10,0,10,4,10,0,10,5,10,10,10,3,10,2,10,0,10,0,10,0,2
1041801,10,4,10,4,10,4,10,3,10,4,10,3,10,4,10,3,10,4,10,3,9,5,9,2,9,3,9,2,8,2,8,2,8,2,1
1043999,10,3,10,1,10,6,9,6,10,4,10,7,10,5,10,4,10,0,10,0,8,5,10,8,10,4,10,7,10,2,10,9,10,4,2
1044572,10,5,10,5,10,5,10,7,10,5,10,6,10,6,10,6,10,6,10,6,10,5,10,7,10,6,10,7,10,7,10,7,10,7,1
1047630,10,0,8,0,10,6,5,5,10,0,7,0,5,5,0,3,3,5,10,0,5,5,5,5,4,10,7,6,5,5,10,6,5,5,2
1048672,10,5,10,5,10,5,10,6,10,5,10,5,9,6,10,5,9,6,9,5,9,5,9,6,9,6,9,6,9,6,9,6,9,6,1
1049815,0,10,5,5,0,0,10,0,5,10,0,10,10,0,10,10,0,0,0,10,10,5,0,10,0,10,10,0,0,10,0,0,10,0,2
1050670,5,6,8,5,8,5,8,6,10,7,8,6,8,6,9,6,8,6,6,7,8,5,8,6,7,6,7,6,7,6,7,6,10,7,1
1050718,10,5,10,0,5,5,5,10,5,10,10,0,1,10,5,5,0,10,10,10,0,5,10,8,0,10,10,10,10,0,10,10,10,10,2
1054590,10,5,10,5,10,5,10,3,10,4,10,4,10,3,10,4,10,3,9,3,10,5,10,3,9,3,9,3,9,3,9,3,9,3,1
1054593,0,5,10,10,5,5,5,10,5,0,5,5,5,5,0,0,0,0,0,10,0,5,5,5,5,5,10,0,0,10,0,10,0,10,2
1056784,10,5,10,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,5,8,5,8,5,8,5,8,5,7,5,8,5,8,5,1
1057013,0,5,0,10,5,5,5,10,5,10,10,10,5,5,5,5,10,0,0,10,10,5,5,5,0,0,10,0,10,10,0,10,5,5,2
1059552,10,5,10,5,10,5,10,3,10,5,10,4,9,5,10,5,8,5,8,4,10,5,9,3,9,3,9,4,9,3,8,4,8,3,1
1065726,10,0,10,8,10,0,10,2,10,0,10,0,10,0,10,0,10,0,10,0,10,5,10,0,10,0,10,0,10,0,10,0,10,0,2
1066373,10,1,10,5,10,4,9,6,10,8,10,3,9,3,9,4,9,2,6,0,10,5,8,1,8,1,7,1,7,1,7,0,4,0,1
